,p-value,chi-square value,digit-count
0,0.6758141752709885,7.51788573057114,"[415114, 169240, 93356, 59046, 40632, 29949, 22730, 18073, 14556, 12032, 125272]"
1,0.9466935751483895,4.014432122877099,"[414722, 170113, 93286, 59184, 40450, 29780, 22730, 17911, 14566, 11985, 125273]"
2,0.04838645320495416,18.41283025011235,"[415560, 169379, 92726, 59041, 40648, 29874, 22624, 18205, 14166, 12064, 125713]"
3,0.8377075600777141,5.7263334232460785,"[415088, 169801, 92866, 58871, 40664, 29942, 22636, 18112, 14620, 11907, 125493]"
4,0.07025113503948277,17.190615057704598,"[414225, 170431, 93674, 58877, 40949, 29487, 22814, 17666, 14408, 12095, 125374]"
5,0.5076890980244463,9.259252854564592,"[415382, 169884, 92360, 59105, 40803, 29606, 22828, 17971, 14514, 11931, 125616]"
6,0.23550951326204494,12.79243799625728,"[416131, 169988, 92585, 58983, 40759, 29671, 22465, 17698, 14443, 11964, 125313]"
7,0.6161371571941074,8.130032286546529,"[415155, 170029, 92869, 59152, 40590, 29754, 22798, 17823, 14230, 11922, 125678]"
8,0.6061924829041202,8.23194278844024,"[414137, 170082, 93340, 58843, 40830, 29794, 22625, 18012, 14675, 12111, 125551]"
9,0.6229223271318427,8.060551052072224,"[414695, 170469, 92678, 58898, 40635, 29989, 22765, 17999, 14398, 11869, 125605]"
10,0.3381442080593551,11.253073818971238,"[415103, 169994, 93022, 59194, 40700, 29505, 22591, 17976, 14541, 12226, 125148]"
11,0.6712014818041256,7.56543036843094,"[415513, 169401, 92774, 58821, 40526, 29985, 22644, 17939, 14502, 12080, 125815]"
12,0.7593816838333276,6.635146636423986,"[414811, 170401, 92738, 58824, 40872, 29805, 22594, 18019, 14410, 11907, 125619]"
13,0.6446491599214647,7.838083173526264,"[415659, 170324, 92723, 58570, 40645, 29576, 22562, 17952, 14562, 11927, 125500]"
14,0.13023443407680158,15.050419564677423,"[415131, 169163, 93706, 58858, 40406, 29795, 22708, 17833, 14291, 12073, 126036]"
15,0.978789661594876,3.1071133578136423,"[414921, 169871, 93247, 58867, 40716, 29938, 22804, 17790, 14508, 11959, 125379]"
16,0.33446351618382963,11.302201525379349,"[415691, 170118, 92971, 59035, 40434, 29378, 22476, 17939, 14555, 12065, 125338]"
17,0.5523269568043916,8.788079027833135,"[415457, 169250, 93097, 59342, 40611, 29620, 22609, 17825, 14473, 12044, 125672]"
18,0.9942762224961517,2.227896729387264,"[414831, 169993, 93196, 58757, 40691, 29735, 22788, 18059, 14500, 12031, 125419]"
19,0.29195583738880937,11.89778208075919,"[415631, 169580, 93604, 58615, 40622, 29820, 22394, 17842, 14542, 11861, 125489]"
20,0.4997402550796497,9.344615305721744,"[415279, 169021, 93641, 58902, 40700, 29723, 22705, 17911, 14417, 11917, 125784]"
