,p-value,chi-square value,digit-count
0,0.9410426951811967,35.404393045853396,"[4152446, 1699645, 929643, 588801, 406171, 296859, 227195, 179343, 145113, 120280, 100744, 85567, 73276, 64544, 56201, 49832, 44644, 39933, 35753, 32662, 29839, 27169, 25012, 23172, 21460, 19725, 18521, 16960, 15994, 15088, 14093, 13185, 12501, 11839, 11194, 10559, 9884, 9624, 9083, 8584, 8275, 7881, 7410, 7206, 6705, 6580, 6242, 6078, 5754, 5604, 280127]"
1,0.5977101876429135,46.92057682425877,"[4149876, 1701060, 931901, 588668, 405691, 298079, 226681, 179187, 145049, 119312, 100542, 85366, 73793, 64326, 56489, 49828, 44776, 39885, 35947, 32971, 29883, 27048, 24842, 23028, 21291, 19683, 18604, 17188, 16070, 15228, 14157, 13407, 12468, 11805, 11012, 10453, 9994, 9499, 8977, 8581, 8006, 7907, 7549, 7090, 6766, 6736, 6375, 5959, 5642, 5534, 279791]"
2,0.34179007110299253,53.49037280910477,"[4150563, 1699074, 931025, 589336, 406498, 297606, 226955, 179874, 144375, 119565, 100068, 86127, 73946, 64009, 56509, 50172, 44381, 39997, 35742, 32671, 30006, 27199, 25116, 23018, 21426, 19842, 18606, 17090, 16066, 15291, 14058, 13251, 12438, 11755, 11066, 10629, 10128, 9454, 9201, 8386, 8309, 8003, 7377, 7056, 6755, 6649, 6376, 6044, 5768, 5523, 279621]"
3,0.22570386167725653,57.18930483074773,"[4150414, 1698119, 931668, 588155, 405790, 298171, 227382, 179270, 145107, 119900, 100502, 85086, 74294, 64604, 56706, 49822, 44760, 40264, 36116, 32678, 29915, 27383, 24805, 22763, 21568, 20114, 18579, 17102, 16055, 14866, 14032, 13485, 12545, 11785, 11286, 10695, 10133, 9446, 9067, 8581, 8260, 7799, 7323, 7159, 6929, 6552, 6309, 6057, 5834, 5576, 279189]"
4,0.16954713511751351,59.438121433782676,"[4148774, 1698924, 933881, 589636, 405938, 296602, 227585, 178996, 144805, 119362, 101134, 85459, 74092, 64276, 56480, 49918, 44532, 39892, 35960, 32278, 29750, 27224, 24930, 23239, 21614, 19675, 18571, 17102, 15984, 14967, 14221, 13230, 12566, 11706, 11164, 10728, 9992, 9423, 8969, 8406, 8283, 7828, 7592, 7172, 6721, 6352, 6320, 6005, 5739, 5642, 280361]"
5,0.5565003516120133,47.93840791780217,"[4152463, 1699212, 930929, 589774, 406768, 297518, 226519, 179370, 144225, 120036, 100523, 85445, 74040, 64355, 56096, 49966, 44708, 39932, 36364, 32750, 29719, 27495, 25055, 23269, 21179, 19832, 18420, 17154, 16061, 14849, 13950, 13275, 12338, 11706, 11200, 10537, 9933, 9413, 9018, 8709, 8271, 7752, 7341, 7124, 6682, 6524, 6168, 6058, 5602, 5520, 278853]"
6,0.5952736228495352,46.98097712615622,"[4152526, 1698549, 930823, 587956, 406940, 297494, 228028, 179126, 144742, 119923, 100800, 85155, 73420, 64054, 56596, 49831, 44747, 40066, 35818, 32815, 29638, 27472, 25148, 23202, 21277, 19835, 18476, 17161, 16123, 14969, 14107, 13468, 12371, 11785, 11030, 10445, 10163, 9484, 8981, 8473, 8229, 7659, 7580, 7138, 6944, 6496, 6256, 5844, 5799, 5587, 279451]"
7,0.8323735377147238,40.382227384332985,"[4149773, 1698055, 930846, 588704, 406441, 298195, 227795, 179591, 145273, 119731, 100692, 85490, 73439, 64602, 56580, 50074, 44682, 40177, 36347, 32683, 29835, 27388, 25321, 23029, 21441, 19892, 18456, 17010, 15927, 15103, 13965, 13065, 12568, 11887, 11046, 10467, 10018, 9564, 9057, 8602, 8145, 7946, 7348, 7225, 6753, 6507, 6275, 6088, 5898, 5426, 279578]"
8,0.42948216127669825,51.119101851037364,"[4149865, 1700632, 930445, 588962, 406292, 297080, 226658, 179324, 145090, 119367, 100700, 85707, 73847, 64237, 56904, 49660, 44673, 40516, 35894, 32629, 29894, 27346, 25044, 23232, 21206, 19875, 18334, 17301, 16002, 15179, 14044, 13311, 12319, 11670, 11083, 10540, 10220, 9313, 9203, 8596, 8250, 7851, 7525, 7098, 6803, 6430, 6151, 5991, 5934, 5488, 280285]"
9,0.8293442195268583,40.48645870950636,"[4149993, 1697888, 932139, 588935, 407172, 297300, 226973, 179376, 145141, 120193, 100694, 85892, 73904, 63894, 56414, 49959, 44478, 39894, 36354, 32923, 29892, 27245, 25311, 22851, 21398, 19627, 18387, 17329, 16000, 15090, 13975, 13130, 12198, 11819, 10996, 10574, 9939, 9345, 9172, 8557, 8124, 7858, 7430, 7173, 6855, 6597, 6290, 5989, 5759, 5601, 279973]"
10,0.1363119948289424,61.0356786558894,"[4152196, 1697830, 930227, 588115, 405451, 297502, 226424, 179637, 145305, 120162, 100339, 86064, 73966, 64572, 56556, 50060, 45062, 40290, 35924, 32748, 30000, 27645, 25221, 23326, 21630, 19798, 18424, 17332, 15696, 15160, 14048, 13236, 12491, 11610, 10955, 10507, 10096, 9458, 9066, 8534, 8072, 7693, 7407, 7142, 6738, 6583, 6274, 5935, 5760, 5628, 280105]"
11,0.03426422750047364,69.68227759035744,"[4148607, 1702010, 929734, 591059, 406013, 297446, 227731, 178965, 144613, 119456, 100849, 86216, 73602, 64377, 56499, 50413, 44021, 40134, 35885, 32900, 29921, 27236, 24956, 23264, 21232, 19624, 18315, 17195, 16036, 14928, 13926, 13104, 12630, 11544, 11065, 10575, 9895, 9576, 8883, 8681, 8123, 7758, 7376, 7149, 6772, 6451, 6357, 5830, 5816, 5507, 279745]"
12,0.6336429222929729,46.02360900863018,"[4149564, 1699668, 929943, 590092, 405632, 297714, 227958, 178899, 144663, 119837, 100782, 85748, 73648, 64331, 56832, 50222, 44684, 39887, 35832, 32820, 29688, 27357, 24821, 23164, 21381, 19797, 18443, 16982, 16044, 15216, 14042, 13264, 12485, 11670, 11062, 10515, 9948, 9474, 9102, 8499, 8063, 7823, 7266, 7146, 6900, 6684, 6232, 6100, 5645, 5576, 280855]"
13,0.6729727119259992,45.021225303405785,"[4150198, 1699537, 931684, 588631, 406509, 296849, 226842, 179289, 145105, 119441, 100699, 85716, 73988, 64246, 56497, 49835, 44749, 40124, 36157, 32915, 29815, 27397, 24998, 23142, 21368, 19847, 18644, 17200, 16121, 14981, 14065, 13239, 12261, 11791, 11265, 10542, 9899, 9632, 9000, 8282, 8221, 7679, 7446, 7121, 6845, 6636, 6111, 6169, 5640, 5560, 280072]"
14,0.2457763503653948,56.47839680961717,"[4151125, 1699481, 931263, 589643, 406581, 296583, 227109, 179203, 145099, 120104, 100341, 85453, 73349, 64466, 56138, 49729, 44375, 39835, 36167, 32554, 29845, 27339, 25046, 23102, 21340, 19576, 18359, 17083, 16255, 14881, 14230, 13236, 12351, 11551, 11178, 10597, 10058, 9656, 9013, 8519, 8144, 7909, 7677, 7073, 7043, 6588, 6193, 6131, 5866, 5591, 279972]"
15,0.061079822473864454,66.30316392114744,"[4151672, 1699043, 933025, 588915, 405476, 296625, 227108, 178182, 145202, 119439, 101218, 85293, 74067, 64178, 56409, 50321, 44815, 40159, 36318, 32731, 29804, 27432, 24974, 22867, 21492, 19835, 18453, 16921, 16169, 14915, 13982, 13150, 12434, 11608, 11224, 10388, 10004, 9656, 9025, 8625, 8145, 7856, 7475, 6957, 6634, 6637, 6243, 6140, 5668, 5467, 279624]"
16,0.6951023830373907,44.44301760006593,"[4149418, 1699488, 929686, 587936, 407724, 297612, 226944, 179756, 145809, 120017, 100156, 85870, 73775, 64269, 56237, 49664, 44975, 40055, 36004, 32700, 29867, 27506, 24918, 23130, 21445, 19784, 18583, 17048, 16039, 14940, 14136, 13425, 12540, 11661, 11132, 10523, 10043, 9346, 9001, 8633, 8193, 7841, 7477, 7076, 6997, 6455, 6331, 6039, 5813, 5554, 280429]"
17,0.9481566444634056,34.902335819778266,"[4149528, 1699539, 931454, 588267, 406925, 298036, 227256, 178976, 145406, 119978, 100451, 85429, 73482, 63788, 56746, 49663, 44637, 40171, 36080, 32651, 29868, 27366, 24947, 23105, 21424, 19812, 18303, 17354, 16034, 15098, 14304, 13346, 12572, 11746, 11146, 10584, 10119, 9457, 9051, 8516, 8198, 7745, 7506, 7068, 6662, 6635, 6233, 5956, 5726, 5633, 280023]"
18,0.374186280975234,52.586686987772055,"[4150246, 1698582, 930918, 588215, 407413, 297354, 227179, 178938, 144597, 119697, 100511, 85765, 74291, 64948, 56443, 50133, 44708, 40671, 35986, 32739, 30126, 27403, 25094, 22917, 21389, 19665, 18507, 17198, 15893, 14904, 14093, 13273, 12395, 11760, 11142, 10673, 9904, 9358, 8907, 8521, 8286, 7815, 7586, 7080, 6767, 6432, 6170, 5977, 5713, 5461, 280257]"
19,0.8468442125123025,39.86935694880932,"[4150230, 1698558, 930546, 589854, 406223, 297256, 227301, 178922, 145911, 119731, 100513, 85668, 73831, 65023, 56366, 50029, 44606, 39887, 35952, 32725, 29897, 27146, 24858, 23098, 21361, 19836, 18265, 17244, 16108, 15107, 14116, 13217, 12331, 11602, 11049, 10504, 9793, 9491, 8917, 8582, 8211, 7858, 7379, 7178, 6739, 6530, 6264, 5990, 5833, 5551, 280813]"
20,0.7569835298792724,42.74224422917569,"[4148860, 1698968, 931519, 588259, 407154, 297514, 226665, 179353, 145112, 120041, 100580, 85599, 74081, 64516, 56417, 49780, 44430, 40121, 36306, 32689, 29857, 27520, 25011, 23156, 21405, 19952, 18547, 17198, 15903, 15220, 14051, 13241, 12459, 11850, 11364, 10593, 10074, 9570, 8869, 8664, 8426, 7811, 7561, 7047, 6892, 6479, 6272, 5991, 5647, 5525, 279881]"
21,0.5810831251165303,47.332038772525195,"[4150064, 1700371, 931226, 587656, 407205, 297836, 227392, 179231, 144839, 120247, 100911, 84753, 73878, 64219, 56747, 49947, 44213, 40011, 36331, 32958, 29858, 27336, 25147, 23101, 21094, 19842, 18415, 17156, 15932, 14801, 13998, 13211, 12393, 11972, 11142, 10541, 10060, 9494, 8928, 8677, 8198, 7890, 7435, 7124, 6745, 6487, 6227, 5910, 5858, 5546, 279447]"
22,0.8952067950962523,37.91120833882052,"[4147864, 1699845, 931914, 589117, 406969, 296580, 228160, 178765, 145005, 119446, 100886, 85808, 74010, 64564, 56746, 49906, 44607, 39919, 36305, 32641, 29809, 27103, 24932, 23169, 21284, 19847, 18335, 17272, 15969, 14990, 14117, 13306, 12461, 11672, 11198, 10633, 9968, 9426, 9064, 8462, 8160, 7825, 7607, 7116, 6767, 6647, 6130, 6054, 5699, 5593, 280328]"
23,0.5280902631335312,48.639032156090494,"[4152507, 1700154, 930304, 588861, 406335, 297113, 226772, 179416, 144395, 119460, 100083, 85480, 73472, 64296, 56548, 50137, 44692, 40121, 36384, 32834, 30106, 27210, 24819, 23164, 21417, 19984, 18589, 17130, 16192, 14995, 14003, 13212, 12542, 11739, 11193, 10662, 10072, 9296, 8945, 8330, 8191, 7858, 7410, 7123, 6888, 6606, 6166, 6095, 5846, 5597, 279256]"
