,p-value,chi-square value
0,0.7565234858294093,20.714957649714577
1,0.7452178243410652,20.936820252206722
2,0.9933843819818512,11.561541163461882
3,0.9942721214901508,11.352185448987713
4,0.705558559071213,21.689518822614325
5,0.6092369728933529,23.417469231514247
6,0.5533162718960244,24.396286432250488
7,0.7647026647022133,20.551997836924613
8,0.9587812043242352,14.919913015010112
9,0.13267873627817928,34.09380365314137
10,0.9011251254044079,17.256632282012063
11,0.4856022279989777,25.593719622292454
12,0.746809215865059,20.90581449490374
13,0.8825201737858588,17.81159293031307
14,0.7827189433140346,20.184798294760732
15,0.0606067436183968,37.99649593155293
16,0.37453067444061505,27.67705514878078
17,0.04461065082261384,39.40167359413301
18,0.7520600069300438,20.802998982444745
19,0.9416427525678243,15.767192248574823
20,0.34798688373339104,28.21445500081195
21,0.8794857620919129,17.89707948536812
22,0.6884500866113215,22.004505891903936
23,0.3111278570695939,28.998996016310173
24,0.788029382524575,20.07415313680202
25,0.08577447205662425,36.329457969786304
26,0.8862339978346736,17.70520525371644
27,0.9633192472013132,14.655144789439637
28,0.27766232392044576,29.76025446760816
29,0.0013225380799972708,53.083009820079475
30,0.8358788042144301,19.01303717241486
31,0.8264940289720434,19.23182890601865
32,0.7893887733597343,20.045637799715003
33,0.8312018319177673,19.122836749798566
34,0.47142275458971583,25.849109164484155
35,0.6297961786358177,23.055661295947267
36,0.910806935774622,16.942594098235592
37,0.42863568802535124,26.635492493574265
38,0.6100058821691752,23.403973448701876
39,0.708797241740647,21.62931580311647
40,0.006152769331242869,47.50978221448438
41,0.30388392512412876,29.159387984745617
42,0.5321776888294107,24.767272552087096
43,0.20980460500859754,31.510483107173258
44,0.6921833079264802,21.93618243052692
45,0.5400292326126639,24.62928131903547
46,0.9037124901992706,17.17462804840958
47,0.5557307267124892,24.354002474501904
48,0.998534549168269,9.63369788208702
49,0.8442097985718141,18.81341797571785
50,0.3386268766683088,28.40909316116367
51,0.9906100255083439,12.097469026261777
52,0.14442142391978052,33.63656415341379
53,0.9069778136150538,17.06918878460814
54,0.7286181353517037,21.25625970526699
55,0.7237499749591844,21.34866747036102
56,0.015871670014095063,43.80261476037463
57,0.41443352847179504,26.902998631863998
58,0.2953512978608732,29.351284937481726
59,0.9952026534710191,11.102827225093762
60,0.5679165979098622,24.14075980540762
61,0.5616580135003943,24.250250781583564
62,0.7775268238267594,20.29187059595824
63,0.055222841939975065,38.42903956623397
64,0.08290381021293736,36.49680323432448
65,0.9072198809260219,17.061282281890477
66,0.7001912655235146,21.788869548270114
67,0.444586668193387,26.33919317225654
68,0.37687494932603915,27.630536795617633
69,0.5264411584521458,24.868276186328323
70,0.6735895574657638,22.274471836075694
71,0.8481641633887147,18.716726791002642
72,0.5767945365202929,23.98549788112684
73,0.5132722153928535,25.10085176053772
74,0.9378551179722634,15.930736143291258
75,0.35945360253621095,27.97979102382847
76,0.5175372958567342,25.02540824703052
77,0.5943961014657595,23.67757476381613
78,0.6809594446182379,22.14096837822406
79,0.751754868581856,20.808995873567156
80,0.2176346128244484,31.290304389420882
81,0.5179067579294481,25.018878564261314
82,0.14658366570666048,33.55556845528323
83,0.30097479548290096,29.224443369970434
84,0.5668040805417636,24.160219443439914
85,0.5886326495555113,23.77844188079536
86,0.7899551818359901,20.033732829611104
87,0.36987817217197905,27.769806030814046
88,0.9302675545674775,16.23944956178791
89,0.15829288776843142,33.1323457743928
90,0.4195267017850486,26.80663775087818
91,0.9708038335583936,14.16197827898728
92,0.9045314461605481,17.148392144271646
93,0.5677452213920582,24.143757368271967
94,0.7816816851232828,20.206274337148145
95,0.9361358483514703,16.002781470349937
96,0.6130771865543743,23.350042681697417
97,0.0025238123769544263,50.795016604468884
98,0.27764892929946194,29.760570245293078
99,0.540873109364744,24.614465530963262
